author,content
niltheoverkill,Hey
niltheoverkill,Ruthie
niltheoverkill,Is there any chance you have proof
niltheoverkill,Of that guy's messages
niltheoverkill,We just got in contact with another admin in that server and we've been telling them about this
niltheoverkill,She's a girl so we're hoping she gets it
peachyqiss,hey i can look! sorry i was in class
niltheoverkill,yeah no worries
niltheoverkill,take your time
niltheoverkill,but dont take too long-
niltheoverkill,hey
niltheoverkill,are you here
peachyqiss,IM SORRY IWAS IN CALCULUS
peachyqiss,getting the screenshots now
peachyqiss,"we only had one convo prior and it was meeting each other, and i had only been to two study sessions at that point"
peachyqiss,this was my bio in the server he found me in
niltheoverkill,"OK, first of all, I just wanna say"
niltheoverkill,Do not send your pictures to strange men on the Internet
niltheoverkill,Do not even text them
niltheoverkill,Do not even breathe the same air as them
niltheoverkill,"But as the adult in the room, it is more his fault than yours"
niltheoverkill,Please be more cautious next time
peachyqiss,"yeah :( i figured that since we already had a cam-on study session it wouldn’t be that bad bc he already saw who i was. it was after that that i realized “damn, he’s a creep” and wanted to take it all back"
peachyqiss,defo won’t happen again.
peachyqiss,"hey nil, reyna passed over ownership to me and i was just wondering if you could gauge how active you'll be on the server. if you can't mod that's fine, but i would love if you could be more active in case we need to update SERENA. i'm intermediate with python but i've never taken on a project like this, so having you around would be really really helpful!"
peachyqiss,"not trying to rush of pressure you or anything, but if you don't get back to me soon, i'm going to have to start looking for other programmers to help with development if you can't"
niltheoverkill,"hey, i just saw everything today firstly - CONGRATS 🎊 uni for me starts in a couple days (unfortunately) so i most certainly will be 10x more active than i am right now, i know almost everything regarding the bot so ofc i'll help to the best of my abilities"
niltheoverkill,i think most of the development part has been completed so from now on it will be minor fixes
peachyqiss,"THANK YOU! yeah, we just need to have a few fixes and the ability to add things when needed. i know python to an extent but it’s nice to have someone who’s well versed with the bot and more fluent/can get projects done more efficiently than me i’m glad you’ll be more active!! hopefully we can start up another back to school event or a movie night soon!"
niltheoverkill,oh i'd love to get back into hosting events for the server i kinda miss it too
niltheoverkill,a back to school event for SURE
peachyqiss,yeah! we’ve tried hosting events over the summer but you were amazing at them
niltheoverkill,:catsobbing:
niltheoverkill,i kinda had a shit summer but thats not an excuse to bail im sorry about that :(
peachyqiss,"it’s okay! we all have our struggles and i totally get that! just let me know when something is going on so i can plan ahead okay? no details or anything, a simple “hey ruthie something came up and im not going to be online for x amount of time” works!"
peachyqiss,"the server isn’t the only thing in our lives and i totally get that, i just want to stay in the loop so everything is accounted for :)"
niltheoverkill,yeah thats only fair
niltheoverkill,hey how are you by the way
niltheoverkill,college n shit 🤪
peachyqiss,"i’m good, uni started about a week or two ago and i’ve been RUNNING"
niltheoverkill,that first week is a hustle as per usual
peachyqiss,learning two new programming languages while doing other stuff is hard 😭
peachyqiss,yeah it’s not been the best
niltheoverkill,ouuu what are you learning?
peachyqiss,C and MATLab
peachyqiss,it’s horrible 😭
niltheoverkill,oh gosh
niltheoverkill,best of luck
niltheoverkill,NOT LIKE THATS ROCKET SCIENCE PUHAHAHAHAHHAHAHA
niltheoverkill,...
peachyqiss,HAHAHAHA
niltheoverkill,i'll um shut up now
peachyqiss,we got an assignment on wednesday from our intro to aerospace professor that was due last night. he said his class wouldn’t be a culling class but tell me why he demanded we have 10 projects in MATLab
peachyqiss,all due within 4 days
peachyqiss,and saturday we had a football game so none of us could do it that day
peachyqiss,my final work was 21 pages 😭
niltheoverkill,crazy
niltheoverkill,insanity
peachyqiss,yeah i hate to say that i did in fact use chat gpt
peachyqiss,for a few of the questions 😭
niltheoverkill,i would be surprised if someone didnt use chatgpt
peachyqiss,REAL
niltheoverkill,it's a personal tutor at this point
niltheoverkill,like
niltheoverkill,free and educational?
peachyqiss,one of the questions actually involved linear algebra (a course we don’t learn until our 3rd year)
niltheoverkill,wait WHAT
peachyqiss,YEAH
niltheoverkill,we have linear algebra on our 1st year 1st semester
niltheoverkill,💀
peachyqiss,wait yall go to college then uni right?
peachyqiss,i can’t remember how europe does school
niltheoverkill,this happens all the time thoughhh professors dont know what the other courses and there are constant mixups
niltheoverkill,thats only in the uk afaik
niltheoverkill,im going into my last (3rd) year of uni
peachyqiss,yeah and he’s from canada and it’s his first year here 😭 which makes it worse
peachyqiss,ohhhh okok
niltheoverkill,he'll apologize and fix it immediately then lmfao
peachyqiss,we went to his office hours and he didn’t say anything :chilewhat:
peachyqiss,his two assistants didn’t help at all either
peachyqiss,they said if they helped us then they would be “spoon feeding” and we’re just “not in the right mindset”
niltheoverkill,we just assume they know what they're doing but if i learned ONE THING in higher education it's that nobody and i mean NOBODY knows what they are doing
peachyqiss,REAL
peachyqiss,that’s so real
niltheoverkill,well feed me like a mama bird so i can fly out of the nest
peachyqiss,this is our curriculum sheet
niltheoverkill,hopefully your other classes' staff are more help
niltheoverkill,hey this is actually kinda pleasant
peachyqiss,you can arrange it differently depending on how many classes you passed in high school though
peachyqiss,i know it’s so nice
peachyqiss,the computer engineering program’s sheet is a flow chart
niltheoverkill,omfg i love american colleges for this shit
peachyqiss,it’s so hard to read
peachyqiss,YES ITS SO PEAK
niltheoverkill,in a language they can understand 💀
peachyqiss,💀
niltheoverkill,MOM I AM A RICH MAN
peachyqiss,💍🧎‍♀️
niltheoverkill,Hey Ruthie
niltheoverkill,How are you doing
peachyqiss,"hey, i’m okay"
peachyqiss,a little stressed
niltheoverkill,What’s wrong?
peachyqiss,reyna is asking for owner back and it’s really out of left field
niltheoverkill,"Yeah, actually I came here to talk to you about that"
peachyqiss,oh man
peachyqiss,okay
niltheoverkill,I think it’s very disrespectful that she did that
niltheoverkill,I am aware that she’s confused and a bit lost so she doesn’t know what to do
niltheoverkill,But you have every right to say no
niltheoverkill,"In fact, I think I would’ve said no myself"
niltheoverkill,"Whatever you say, I’m with you on this one"
niltheoverkill,You want me to say something to her i will
peachyqiss,nono it’s okay
peachyqiss,can you just make sure i’m not being crazy?
niltheoverkill,Yeah
niltheoverkill,Ur not
niltheoverkill,🫵
niltheoverkill,"She’s been thinking of texting you for a long time and she has brought up the idea of asking the ownership back to me in dms like 1-2 weeks ago - I told her that it was a bad idea, but if she really really wanted to, she should just talk to you (i said “whats the harm, just ask”)"
niltheoverkill,"And I told her “Ruthie has every right to say no, you know that right?”"
niltheoverkill,I’m translating because the conversation is in Turkish obviously
niltheoverkill,Reading now give me a min
peachyqiss,"this is all that i said after, but yeah"
niltheoverkill,"Sorry to break it to you but some things she said here seem like lies to me - they’re small lies, but still lies"
niltheoverkill,Yeah no
niltheoverkill,"That’s not the part I should be focused on though, her personal life as long as it doesn’t affect the server shouldn’t bother me"
niltheoverkill,I think you put it in quite a delicate way
peachyqiss,i just feel bad because I want her to have the opportunity to adjust to her new life without having to worry. she’s literally moving to a new country and i don’t want the server to be affected again
niltheoverkill,No takebacksies :fingerWave:
peachyqiss,but she said i was back stabbing her
peachyqiss,and like that really hurts because she knows how loyal i am to her and her ideas?
niltheoverkill,"Yeah, I think she knows and she’s just a bit angry right now"
peachyqiss,"if i backstabbed her she wouldn’t be in the staff server, she wouldn’t have the founder role, etc etc"
niltheoverkill,You still gave her the courtesy of staying in the inner circle
niltheoverkill,I think that in itself is really big
peachyqiss,but i did all of that because i do care about her and i want her to see what we’re doing
peachyqiss,yeah
peachyqiss,i don’t know
peachyqiss,i feel like she’s making it really personal
niltheoverkill,She also texted me rn saying Ruthie didn’t give it back and I said why should she?
niltheoverkill,Yes
peachyqiss,i think she forgot i was a day 1 too. sure not mod but i saw everything since before it was girls only
peachyqiss,and i was made a mod on like
peachyqiss,day 3
peachyqiss,😭
peachyqiss,"but you were also day 1, and nisan and jazzi"
peachyqiss,"i know it’s a big thing for her and i did say i would give it back, i just want her to be sure"
peachyqiss,"because she can say she’s ready, then she’ll actually get to italy and get super stressed again"
niltheoverkill,That’s right and that’s what I’m thinking is going to happen as well
peachyqiss,same
niltheoverkill,She thinks she’s ready she is NOT i can tell you that
niltheoverkill,Even if she is - it’s going to take a lot of mental effort to adjust and also the time
peachyqiss,i can literally pull up the messages where she agreed to the co thing though. it’s kind of frustrating she’s going back on that
peachyqiss,like
niltheoverkill,I think you should just hit her with a hard no right now
niltheoverkill,That’s probably the only thing that’s going to stop this conversation on and on
peachyqiss,yeah
niltheoverkill,Full 180
peachyqiss,"i might just say “i can give you co. you can tell me about your ideas for the server and i would love to implement them with you. you will still take responsibility for every facet you develop, like before. but i am not comfortable giving up everything before you adjust to uni in italy for at least a month”"
peachyqiss,actually i might omit the last part
peachyqiss,idk
peachyqiss,she was a good owner but i’m so nervous
niltheoverkill,Don’t be
niltheoverkill,You call the shots now
peachyqiss,i know but this was all hers
niltheoverkill,And she made the executive decision to gift it all to you
niltheoverkill,"This sounds good, I would keep the last* part, but I don’t know what your personal relationship with her is"
peachyqiss,we’re close i think
niltheoverkill,"If you feel comfortable enough to keep it in, I would say keep it in"
peachyqiss,"okay, i just don’t want to go back on it if the month goes by and she’s still not ready"
peachyqiss,i hate going back on my word like that idk
niltheoverkill,I think you should just say we’ll see what happens in a month
niltheoverkill,And I’ll bet you that she’ll be glad she didn’t take the ownership back in a month
peachyqiss,thank you bio
peachyqiss,nil*
niltheoverkill,no problem chem
